date,industry,count
1991-02-01,Financial and Insurance Services,345.298
1991-02-01,"Rental, Hiring and Real Estate Services",116.642
1991-02-01,"Professional, Scientific and Technical Services",378.878
1991-02-01,Administrative and Support Services,176.506
1991-02-01,Public Administration and Safety,444.274
1991-02-01,Education and Training,540.791
1991-02-01,Health Care and Social Assistance,662.032
1991-02-01,Arts and Recreation Services,95.008
1991-02-01,Other Services,356.758
1991-05-01,"Agriculture, Forestry and Fishing",420.732
1991-05-01,Mining,90.101
1991-05-01,Manufacturing,1051.855
1991-05-01,"Electricity, Gas, Water and Waste Services",111.993
1991-05-01,Construction,545.611
1991-05-01,Wholesale Trade,418.728
1991-05-01,Retail Trade,832.773
1991-05-01,Accommodation and Food Services,459.939
1991-05-01,"Transport, Postal and Warehousing",430.976
1991-05-01,Information Media and Telecommunications,172.372
1991-05-01,Financial and Insurance Services,347.749
1991-05-01,"Rental, Hiring and Real Estate Services",108.248
1991-05-01,"Professional, Scientific and Technical Services",387.199
1991-05-01,Administrative and Support Services,179.243
1991-05-01,Public Administration and Safety,436.363
1991-05-01,Education and Training,535.887
1991-05-01,Health Care and Social Assistance,679.261
1991-05-01,Arts and Recreation Services,99.763
1991-05-01,Other Services,360.394
1991-08-01,"Agriculture, Forestry and Fishing",401.875
1991-08-01,Mining,87.415
1991-08-01,Manufacturing,1045.554
1991-08-01,"Electricity, Gas, Water and Waste Services",115.605
1991-08-01,Construction,515.185
1991-08-01,Wholesale Trade,418.082
1991-08-01,Retail Trade,836.89
1991-08-01,Accommodation and Food Services,467.272
1991-08-01,"Transport, Postal and Warehousing",422.277
1991-08-01,Information Media and Telecommunications,169.91
1991-08-01,Financial and Insurance Services,347.622
1991-08-01,"Rental, Hiring and Real Estate Services",111.488
1991-08-01,"Professional, Scientific and Technical Services",385.241
1991-08-01,Administrative and Support Services,180.298
1991-08-01,Public Administration and Safety,444.05
1991-08-01,Education and Training,540.699
1991-08-01,Health Care and Social Assistance,691.713
1991-08-01,Arts and Recreation Services,98.288
1991-08-01,Other Services,353.831
1991-11-01,"Agriculture, Forestry and Fishing",393.332
1991-11-01,Mining,84.56
1991-11-01,Manufacturing,1048.391
1991-11-01,"Electricity, Gas, Water and Waste Services",115.792
1991-11-01,Construction,523.069
1991-11-01,Wholesale Trade,416.134
1991-11-01,Retail Trade,826.436
1991-11-01,Accommodation and Food Services,473.251
1991-11-01,"Transport, Postal and Warehousing",415.199
1991-11-01,Information Media and Telecommunications,166.802
1991-11-01,Financial and Insurance Services,341.056
1991-11-01,"Rental, Hiring and Real Estate Services",114.585
1991-11-01,"Professional, Scientific and Technical Services",383.701
1991-11-01,Administrative and Support Services,179.246
1991-11-01,Public Administration and Safety,435.635
1991-11-01,Education and Training,531.724
1991-11-01,Health Care and Social Assistance,695.951
1991-11-01,Arts and Recreation Services,106.949
1991-11-01,Other Services,346.075
1992-02-01,"Agriculture, Forestry and Fishing",385.69
1992-02-01,Mining,89.381
1992-02-01,Manufacturing,1044.069
1992-02-01,"Electricity, Gas, Water and Waste Services",121.103
1992-02-01,Construction,515.04
1992-02-01,Wholesale Trade,409.428
1992-02-01,Retail Trade,841.981
1992-02-01,Accommodation and Food Services,471.678
1992-02-01,"Transport, Postal and Warehousing",404.501
1992-02-01,Information Media and Telecommunications,172.347
1992-02-01,Financial and Insurance Services,328.859
1992-02-01,"Rental, Hiring and Real Estate Services",113.427
1992-02-01,"Professional, Scientific and Technical Services",395.369
1992-02-01,Administrative and Support Services,185.498
1992-02-01,Public Administration and Safety,442.414
1992-02-01,Education and Training,549.603
1992-02-01,Health Care and Social Assistance,692.488
1992-02-01,Arts and Recreation Services,104.836
1992-02-01,Other Services,367.869
1992-05-01,"Agriculture, Forestry and Fishing",378.345
1992-05-01,Mining,87.546
1992-05-01,Manufacturing,1048.108
1992-05-01,"Electricity, Gas, Water and Waste Services",122.635
1992-05-01,Construction,516.225
1992-05-01,Wholesale Trade,405.517
1992-05-01,Retail Trade,847.312
1992-05-01,Accommodation and Food Services,471.642
1992-05-01,"Transport, Postal and Warehousing",400.73
1992-05-01,Information Media and Telecommunications,167.529
1992-05-01,Financial and Insurance Services,327.26
1992-05-01,"Rental, Hiring and Real Estate Services",107.35
1992-05-01,"Professional, Scientific and Technical Services",402.962
1992-05-01,Administrative and Support Services,184.928
1992-05-01,Public Administration and Safety,438.237
1992-05-01,Education and Training,554.371
1992-05-01,Health Care and Social Assistance,668.813
1992-05-01,Arts and Recreation Services,99.804
1992-05-01,Other Services,369.683
1992-08-01,"Agriculture, Forestry and Fishing",383.601
1992-08-01,Mining,88.55
1992-08-01,Manufacturing,1041.66
1992-08-01,"Electricity, Gas, Water and Waste Services",116.707
1992-08-01,Construction,523.051
1992-08-01,Wholesale Trade,413.081
1992-08-01,Retail Trade,847.805
1992-08-01,Accommodation and Food Services,473.836
1992-08-01,"Transport, Postal and Warehousing",393.291
1992-08-01,Information Media and Telecommunications,167.39
1992-08-01,Financial and Insurance Services,331.933
1992-08-01,"Rental, Hiring and Real Estate Services",114.34
1992-08-01,"Professional, Scientific and Technical Services",396.464
1992-08-01,Administrative and Support Services,187.905
1992-08-01,Public Administration and Safety,441.213
1992-08-01,Education and Training,559.977
1992-08-01,Health Care and Social Assistance,690.354
1992-08-01,Arts and Recreation Services,99.571
1992-08-01,Other Services,379.252
1992-11-01,"Agriculture, Forestry and Fishing",384.646
1992-11-01,Mining,85.518
1992-11-01,Manufacturing,1056.114
1992-11-01,"Electricity, Gas, Water and Waste Services",105.849
1992-11-01,Construction,524.397
1992-11-01,Wholesale Trade,393.57
1992-11-01,Retail Trade,840.689
1992-11-01,Accommodation and Food Services,461.72
1992-11-01,"Transport, Postal and Warehousing",381.25
1992-11-01,Information Media and Telecommunications,165.921
1992-11-01,Financial and Insurance Services,321.484
1992-11-01,"Rental, Hiring and Real Estate Services",121.014
1992-11-01,"Professional, Scientific and Technical Services",387.986
1992-11-01,Administrative and Support Services,187.724
1992-11-01,Public Administration and Safety,461.142
1992-11-01,Education and Training,553.297
1992-11-01,Health Care and Social Assistance,689.058
1992-11-01,Arts and Recreation Services,90.018
1992-11-01,Other Services,356.334
1993-02-01,"Agriculture, Forestry and Fishing",394.655
1993-02-01,Mining,82.871
1993-02-01,Manufacturing,1034.133
1993-02-01,"Electricity, Gas, Water and Waste Services",110.554
1993-02-01,Construction,532.465
1993-02-01,Wholesale Trade,403.165
1993-02-01,Retail Trade,853.661
1993-02-01,Accommodation and Food Services,468.02
1993-02-01,"Transport, Postal and Warehousing",389.898
1993-02-01,Information Media and Telecommunications,158.704
1993-02-01,Financial and Insurance Services,317.355
